SiteID,Index,LON,LAT,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Emerg,Units,Notes,Stream width (m),Basin size (km2),figure_table,ele_mean,r_mean,k_mean,bd_mean,cf_mean,ph05_mean,ph15_mean,lit_majority,min_mean,HYBAS_ID,crop,forest.c,forest.o,nodata,shrub.grass,urban,water,tmp_dc_smx,pre_mm_syr,slp_dg_uav,ero_kh_uav,run_mm_syr,ppd_pk_uav,tmp_dc_syr,ele_mt_sav,dis_m3_pyr,for_pc_sse,crp_pc_sse,hft_ix_s93,hft_ix_u93,hft_ix_s09,hft_ix_u09
Nelson_2023_G6,,-109.140999,40.86484,49931.26,40886.51,6714.07,7841.65,5855.45,10029.65,10445.69,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,50,,Gorge Dam. Exact location could be retrieved from Fig1,1786.578526,424.2099476,0.031807628,1.422410727,21.57142857,77.40336134,78.06722689,6,,7121063520,0.32,12.97,18.74,0,67.74,0,0.24,186,295,48,1155,61,1.65199995,55,2139,99.31800079,42,2,40,40,41,41
Nelson_2023_G7,,-109.032842,40.828568,8908.02,6808.83,896.22,,41.53,2904.14,2966.94,,mg DM m-2 y-1,Green river. Sites downstream Flaming Gorge Dam. Exact location could be retrieved from Fig1 and GoogleMap. Stream size also estimated from map,50,,Gorge Dam. Exact location could be retrieved from Fig1,1845.758781,446.4366308,0.029675081,1.42750001,21.5,76.50847458,77.16949153,6,,7121064110,0.39,21.58,18.37,0,59.36,0,0.29,195,272,49,1158,60,1.636999965,62,1961,100.7340012,49,2,44,40,44,41
Nelson_Scott_1962_Oconee,,-83.406099,33.927,90,,,,,,,,g AFDM m-2 y-1,"Middle Oconee River, Georgia, USA. Site re-used in Grubaugh and Wallace (1995), with somewhat different methods and decades later. Values here are from Nelson and Scott 1962, based on a recalculation done in the Grubaugh and Wallace text.",4.27,1030.82,Text in Grubaugh and Wallace (1995).,212.6244213,4953.042137,0.028378115,1.377589004,22.68749891,53.74193548,53.72043011,4,,7120684080,0.94,43.73,22.34,0,3.91,29.02,0.07,262,1248,23,1217,420,184.1289978,163,216,18.97100067,78,20,306,227,318,268
Neres-Lima2017,,-42.31,-22.14,,1762,,,,,,,mg DM m-2 y-1,Mean across streams,,,Mean,623.5820313,6837.970947,0.013369191,1.373332977,38.66666794,52.57291667,52.45833333,4,,6120741740,0.44,36.25,25.19,0,38.1,0,0.03,243,1429,128,21466,430,56.41699982,211,478,2.210000038,1,4,109,109,174,174
Neves_1979_FactoryBrook,88,-73.03,42.34,4560,,2419.1,339.7,912.3,477.4,412.85,,mg DM m-2 yr-1,"Factory Brook, Massachusetts, USA. Averaged separate values provided for each of two years (1974 and 1975).",4.75,22,Table 3,457.1910569,2057.294231,0.026168267,1.363332987,10,45.54032258,46.96774194,4,,7120485060,0.29,98.64,0.98,0,0.03,0.06,0,201,1218,65,166,808,14.85099983,71,388,6.416999817,100,1,102,89,113,97
Paqualini_et_al_2023,,10.730833,51.805833,12017,12017,475,423,1071,9622,426,,mg DM m-2 y-1,2nd order streams. Data taken from combined benthos and freeze-core sampling (complete data as for authors),,,Data taken from combined benthos and freeze-core,470.3788527,529.9028409,0.030109952,1.347273004,18.20659704,52.44444444,52.62222222,9,,2121114730,10.27,77.89,4.33,0,0.31,6.95,0.24,164,740,45,413,269,118.4990005,77,327,1.309999943,33,54,175,175,180,180
Popperl_1996,,10.242,54.115,128.9,11,1,,1.2,6.7,115.7,,g DM m-2 yr-1,"Lake outflow stream, Germany. Average across 11 sites within  ~ 2km.",6,,Table 5,41.23560855,319.7080696,0.020167425,1.363874992,14.90625,57.8540146,57.32116788,9,,2121094990,69.4,9.46,7.55,0,2.9,6.38,4.31,165,766,4,84,477,301.7120056,80,33,2.447999954,6,55,266,266,230,230
Raitif_et_al_2018,,-1.628547354,48.1113031,,,,,,,,4048.365,mg DM m-2 y-1,"Sum cumulative emergence, Figure 1 Right",,,Coordinates Not given in article. The coordinates reflect the  Ille-et-Vilaine region in Brittany,46.53492647,362.2455002,0.037338589,1.37952401,20.95635114,61.28205128,61.11538462,6,,2120481490,29.41,3.08,20.99,0,3.09,43.43,0,181,709,14,785,479,124.2480011,113,40,11.63899994,1,73,296,192,307,218
Ramirez_Pringle_1998_Sabalo,213,-84.017,10.433,,,93.68,,5.09,74.47,21.38,,mg AFDM m-2 yr-1,Size-Freq method. Habitat-weighted. Tropical. Only 8 taxa with prod (20% of insect biomass),5,,Only 8 taxa with prod (20,76.03872283,8646.681189,0.020417431,1.269704819,36.734375,51.61111111,51.68888889,6,,7121221100,27.03,54.55,16.15,0,0.79,1.49,0,271,3898,92,1845,2353,50.40200043,258,107,162.1360016,71,4,113,95,136,113
Ramirez_Pringle_1998_Sabalo,,-84.017,10.433,,,209.365,,6.95,57.885,181.255,,mg AFDM m-2 yr-1,Benke model method. Mean Riffle + Pool,5,,Mean Riffle,76.03872283,8646.681189,0.020417431,1.269704819,36.734375,51.61111111,51.68888889,6,,7121221100,27.03,54.55,16.15,0,0.79,1.49,0,271,3898,92,1845,2353,50.40200043,258,107,162.1360016,71,4,113,95,136,113
