pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Azithromycin,pharmaceuticals,Odonata,field,ugl,0.000718,mean,0.000345,,standard deviation,5,,,,,,,,ng_mg_dm,0.001576,mean,0.856,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Azithromycin,pharmaceuticals,Trichoptera,field,ugl,0.000718,mean,0.000345,,standard deviation,5,,,,,,,,ng_mg_dm,0.001467,mean,0.234,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Ketoprofen,pharmaceuticals,Aquatic insects,field,ugl,0.042266,mean,0.040174,,standard deviation,5,,,,,,,,ng_mg_dm,0.040049,mean,34.828,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Ketoprofen,pharmaceuticals,Odonata,field,ugl,0.042266,mean,0.040174,,standard deviation,5,,,,,,,,ng_mg_dm,0.049219,mean,37.882,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Ketoprofen,pharmaceuticals,Trichoptera,field,ugl,0.042266,mean,0.040174,,standard deviation,5,,,,,,,,ng_mg_dm,0.019251,mean,21.236,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",1H-benzotriazole,EDC,Aquatic insects,field,ugl,0.016534,mean,0.020172,,standard deviation,5,,,,,,,,ng_mg_dm,0.031028,mean,24.011,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",1H-benzotriazole,EDC,Odonata,field,ugl,0.016534,mean,0.020172,,standard deviation,5,,,,,,,,ng_mg_dm,0.018319,mean,12.079,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",1H-benzotriazole,EDC,Trichoptera,field,ugl,0.016534,mean,0.020172,,standard deviation,5,,,,,,,,ng_mg_dm,0.055398,mean,26.111,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Caffeine,caffeine,Aquatic insects,field,ugl,0.181673,mean,0.199622,,standard deviation,5,,,,,,,,ng_mg_dm,0.007562,mean,10.217,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
54,"Previsic, A., M. Vilenica, N. Vuckovic, M. Petrovic, M. Rozman. 2021. Aquatic Insects Transfer Pharmaceuticals and Endocrine Disruptors from Aquatic to Terrestrial Ecosystems. Environmental Science & Technology 55: 3736-3746.",Caffeine,caffeine,Odonata,field,ugl,0.181673,mean,0.199622,,standard deviation,5,,,,,,,,ng_mg_dm,0.002542,mean,4.921,,standard deviation,5,,,,46.338223N,16.808941E,,,5 sites in Croatia,,,,,,,,,,,,,,,,,,
