index,site_id,lon,lat,notes,stream_width_m,basin_size_km2,figure_table,id,mass_type,mass_units,acsp,aisp,eph_sp,ple_sp,tri_sp,chi_sp,other_sp
13,Chadwick_Huryn_2007_BB,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",70,AFDM,g,2222.222222222222,NA,NA,NA,NA,NA,NA
14,Chadwick_Huryn_2007_ED,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",71,AFDM,g,2433.3333333333335,NA,NA,NA,NA,NA,NA
15,Chadwick_Huryn_2007_SWP,-68.1,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",72,AFDM,g,3211.1111111111113,NA,NA,NA,NA,NA,NA
16,Chadwick_Huryn_2007_WD,-68.12,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",73,AFDM,g,2322.222222222222,NA,NA,NA,NA,NA,NA
17,Chadwick_Huryn_2007_WU,-68.14,44.88,"Taxa-specific results are given in appendix. But it is not clear if the values are habitat-weighted. Hence, they were not entered here.",NA,NA,"pg244, 3rd paragraph",74,AFDM,g,1833.3333333333335,NA,NA,NA,NA,NA,NA
41,Georgian_Wallace_1983_LowerShopeFork,-83.43,35.06,"Did not enter. the abstract says 1195 mg AFDM m2 y1, but that appears to be based only on the ""top 6 most abundant"" taxa. It's not clear what percentage of total mass that those top 6 taxa comprise. If they make up less than ~ 95%, then the total annual production is likely not reliable.",5.5,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,Junker_Cross_2014_WestBlacktailDeerCreek,-112.25,44.76,"In Table 1, only insects are listed. There is an ""other"" category that has 77 mg AFDM m2 y1. That amount is included in the total here. in other words, I assumed that all community production = all insect production.",3.5,NA,Table 1,76,AFDM,mg,8442.222222222223,8442.222222222223,3137.777777777778,931.1111111111112,357.77777777777777,505.5555555555556,3483.3333333333335
35,Fisher_Gray_1983_SycamoreCreek,-111.5,33.75,"Did not enter. The data are for collectors only. They do have a table with annual prod for total benthos from other studies. Need to check if we already include those studies, though.",NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA,NA
186,Hopkins_1976_HorokiwiStream_Gyton_Open,174.9,-41.1,No Insect production reported,NA,NA,NA,78,DM,g,11930,NA,NA,NA,NA,NA,NA
187,Hopkins_1976_HorokiwiStream_Bush_Shaded,174.9,-41.1,No Insect production reported,NA,NA,NA,79,DM,g,5490,NA,NA,NA,NA,NA,NA
188,Hopkins_1976_HorokiwiStream_Lower_Open,174.9,-41.1,No Insect production reported,NA,NA,NA,80,DM,g,10270,NA,NA,NA,NA,NA,NA
189,Hopkins_1976_HinauStream_NorthBranch_Open,175.483,-40.967,No Insect production reported,NA,NA,NA,81,DM,g,1640,NA,NA,NA,NA,NA,NA
190,Hopkins_1976_HinauStream_SouthBranch_Closed,175.483,-40.967,No Insect production reported,NA,NA,NA,82,DM,g,840,NA,NA,NA,NA,NA,NA
