"","BAS_ID","BAS_Class","BA_km2","mnRSSA_pc","sdRSSA_pc"
"30771",4000014870,"C",787.483,0.77079948049745,0.150968395080107
"30772",4000014880,"C",9.68495,0.592910175597,0.183228217033842
"30773",4000014890,"C",173.897,0.76336359033295,0.179146635013771
"30774",4000014900,"C",49.9241,0.66714035828026,0.17779758380561
"30775",4000014910,"C",106.986,0.73734972287477,0.182185719265623
"30776",4000014920,"C",3.70233,0.59879474630134,0.200126065235354
"30777",4000014930,"B",13618.1,1.50569919360338,0.220383453883988
"30778",4000014940,"C",49.938,0.70942768179519,0.189197137890128
"30779",4000014950,"C",1933.48,0.85315234884237,0.148202238424845
"30780",4000014960,"C",12.5708,0.6652706396364,0.201188720286211
"30781",4000014970,"C",108.062,0.77222281189804,0.190765191322892
"30782",4000014980,"C",609.467,0.82234260646135,0.166815165339966
"30783",4000015000,"B",140506,0.66590172620624,0.120017432710047
"30784",4000015010,"C",239.125,0.73277789211332,0.165798075549316
"30785",4000015020,"C",378.363,0.75810417047465,0.162687146289629
"30786",4000015040,"C",5736.1,0.90608023008048,0.133203786522541
"30787",4000015070,"C",608.347,0.79483628394591,0.161090981566972
"30788",4000015080,"C",52.8643,0.66269917572733,0.175616526044437
"30789",4000015090,"C",137.184,0.66925067043788,0.160811228146159
"30790",4000015100,"B",29512.3,0.67936084909776,0.121741900522903
"30791",4000015110,"C",36.4659,0.58740091540737,0.161203129595418
"30792",4000015120,"C",30.0864,0.56300996399758,0.157308618350179
"30793",4000015130,"C",1618.63,0.75370308523631,0.133620151722596
"30794",4000015140,"C",74.7328,0.56811363274064,0.145286497035918
"30795",4000015150,"C",214.463,0.58730394634125,0.134148489897004
"30796",4000015160,"C",94.0921,0.53330010873158,0.133177438243649
"30797",4000015170,"C",411.955,0.55031072767906,0.116366900978357
"30798",4000015180,"C",49.3781,0.44190254409111,0.117856817019336
"30799",4000015190,"C",175.648,0.46809285479751,0.109365789390227
"30800",4000015200,"C",70.1764,0.42669405264951,0.109941482103637
"30801",4000015210,"C",657.784,0.5265460919244,0.1049732681116
"30802",4000015220,"C",98.545,0.54129634535294,0.134524956102384
"30803",4000015230,"C",333.118,0.6526806908512,0.1417965508864
"30804",4000015240,"C",28.6608,0.64010273122442,0.17977017720919
"30805",4000015250,"C",21.5504,0.6405636568687,0.184659028690065
"30806",4000015260,"B",27245.9,0.95551609298705,0.159299560969091
"30807",4000015270,"C",138.811,0.79598238281818,0.191607124987332
"30808",4000015280,"C",608.793,0.87076837451941,0.177033987995089
"30809",4000015290,"C",6.88942,0.8362068416823,0.266656320283662
"30810",4000015300,"C",529.337,1.27575818655622,0.269081184580412
"30811",4000015310,"C",80.4997,1.04292307076869,0.267640437104725
"30812",4000015320,"C",136.269,1.30567595686275,0.320455225046659
"30813",4000015330,"C",165.317,1.50885737893302,0.365712449140735
"30814",4000015340,"C",27.4144,1.19683608994314,0.341684128773688
"30815",4000015350,"C",35.5031,1.27865977329887,0.357360312051211
"30816",4000015360,"C",123.95,1.43792024444082,0.358039543704049
"30817",4000015370,"C",150.621,1.42941152119688,0.34878545752803
"30818",4000015380,"C",131.794,1.32188923228107,0.325743536172648
"30819",4000015390,"C",121.63,1.27100180625959,0.315221512039904
"30820",4000015400,"C",245.487,1.32064038618066,0.304655179499963
"30821",4000015410,"C",71.7774,1.13324023690272,0.294980779223612
"30822",4000015420,"C",3030.61,1.40476030202975,0.237930574052518
"30823",4000015430,"C",2.1738,0.87182223888112,0.304447856219871
"30824",4000015440,"C",1835.1,1.24618478146672,0.223847152737513
"30825",4000015450,"C",46.5099,1.03222796591983,0.279372360218999
"30826",4000015460,"C",164.38,1.05239166091252,0.250900809765344
"30827",4000015480,"C",224.495,1.03361523096719,0.238019837591647
"30828",4000015490,"C",173.134,0.99417165716084,0.235199948079654
"30829",4000015500,"C",2463.05,1.13211294693807,0.193506339240511
"30830",4000015510,"C",246.334,1.04388226091581,0.238007172371729
"30831",4000015520,"C",897.651,1.08193535491772,0.211600019805928
"30832",4000015530,"C",25.993,0.92429919939836,0.263340623640292
"30833",4000015540,"C",14.7478,0.89703430508739,0.268599763358698
"30834",4000015550,"C",2686.29,1.16969604863554,0.197982152607101
"30835",4000015560,"C",28.6488,0.94728373172915,0.267650966709983
"30836",4000015570,"C",103.345,1.09594579805881,0.274705813909506
"30837",4000015580,"C",806.029,1.17819327309132,0.2348507322848
"30838",4000015590,"C",54.849,1.06481900795889,0.283940413641805
"30839",4000015600,"C",1027.87,1.24192073112876,0.240881898880495
"30840",4000015620,"C",1703.15,1.2523971076194,0.227366974555728
"30841",4000015630,"C",80.1278,1.12564855286007,0.289761932488862
"30842",4000015640,"C",117.355,1.10247298744634,0.272817013167108
"30843",4000015650,"C",138.584,1.1582856008971,0.282271572273425
"30844",4000015660,"C",1.94552,0.83774541358685,0.294841971274259
"30845",4000015670,"C",106.242,1.06315069985397,0.265440835672392
"30846",4000015680,"C",4.32023,0.86944840115688,0.28799735757189
"30847",4000015690,"C",108.934,1.0547312016896,0.262588349508743
"30848",4000015700,"C",123.948,1.03471585991763,0.254008161441798
"30849",4000015710,"C",115.359,1.01693416140222,0.251364923504995
"30850",4000015730,"C",399.305,1.04933563239642,0.226394035507163
"30851",4000015750,"C",387.419,0.93344662394993,0.201092996660256
"30852",4000015770,"C",8.88359,0.64438425415395,0.200670750268108
"30853",4000015780,"C",9510.16,1.25886206233548,0.17616387361412
"30854",4000015790,"C",116.773,0.75174980015057,0.184104792042563
