INDEX,SiteID,Production,Biomass,Density,Discharge,ChannelWidth,WaterTemperature,pH,Conductivity,CPOM,Longitude,Latitude,ElevationCatch,Slope,StreamOrder,AreaWater,SedimentAverage,SedimentHierarchical,Bioclimate1,Bioclimate12,ESA_LandCover,EcoReg_DomainNo,EcoReg_Domain,EcoReg_DivisionNo,EcoReg_Division,EcoReg_ProvinceNo,EcoReg_Province
143,Voshell_1985_NewRiver,13.325,9.914,NA,11.974,NA,2.639,NA,NA,NA,3.692,3.628,6.312,NA,6,NA,NA,NA,3.437,6.883,61,200,HUMID_TEMPERATE,M220,HOT_CONTINENTAL_REGIME_MOUNTAINS,M221,FOREST-ALPINE_MEADOWS
144,Hall_EtAl_2006_FireholeRiver_Riffle,10.958,8.445,11.194,NA,NA,2.923,NA,NA,NA,2.319,3.797,7.705,NA,4,NA,8.318,8.318,3.025,6.423,130,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
145,Hall_EtAl_2006_FireholeRiver_Vegetated,12.051,9.577,12.036,NA,NA,2.923,NA,NA,NA,2.319,3.797,7.705,NA,4,NA,2.815,2.815,3.025,6.423,130,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
146,Hall_EtAl_2006_PolecatCreek,10.266,8.087,11.035,NA,NA,2.434,NA,NA,NA,2.333,3.787,7.648,NA,2,NA,3.112,3.112,3.054,6.475,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
147,Hall_EtAl_2006_GibbonRiver,12.253,9.79,12.617,NA,NA,2.89,NA,NA,NA,2.317,3.799,7.715,NA,3,NA,3.512,3.512,3.025,6.415,70,300,DRY,M330,TEMPERATE_STEPPE_REGIME_MOUNTAINS,M331,FOREST-ALPINE_MEADOWS
148,Jackson_Fisher_1986_SycamoreCreek,11.608,6.843,NA,3.912,1.253,2.818,NA,NA,NA,2.251,3.519,6.713,NA,4,NA,NA,NA,3.648,6.144,120,300,DRY,310,TROPICAL/SUBTROPICAL_STEPPE,315,DRY_STEPPES_AND_SHRUB_OF_MODERATE_CONTINENTAL_CLIMATE
149,Krueger_Waters_1983_CaribouRiver,9.054,NA,NA,5.587,1.504,2.14,1.917,NA,NA,3.4,3.862,6.186,NA,1,NA,4.271,4.271,3.148,6.623,60,NA,,,,,
150,Krueger_Waters_1983_NorthBranchCreek,11.003,NA,NA,5.112,1.792,2.251,2.116,NA,NA,3.348,3.842,5.855,NA,1,NA,4.656,4.656,3.178,6.625,130,200,HUMID_TEMPERATE,210,WARM_CONTINENTAL,212,MODERATE_CONTINENTAL_MIXED_FORESTS
151,Krueger_Waters_1983_BlackhoofRiver,9.879,NA,NA,6.377,1.705,2.001,2.001,NA,NA,3.349,3.776,6.023,NA,1,NA,3.959,3.959,3.277,6.721,10,200,HUMID_TEMPERATE,220,HOT_CONTINENTAL,222,MODERATELY_HUMID_BROADLEAF_FOREST_IN_MODERATELY_CONTINENTAL_CLIMATE
152,Smock_EtAl_1985_CedarCreek_Upstream,8.226,6.206,8.966,9.405,NA,2.868,1.723,3.367,NA,3.693,3.527,4.796,NA,3,NA,NA,NA,3.608,7.076,70,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
153,Smock_EtAl_1985_CedarCreek_Swamp,7.943,5.69,9.029,9.405,NA,2.868,1.723,3.367,NA,3.693,3.526,4.644,NA,3,NA,NA,NA,3.611,7.073,70,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
154,Smock_EtAl_1985_CedarCreek_Downstream,7.487,5.248,9.061,9.405,NA,2.868,1.723,3.367,NA,3.693,3.525,4.369,NA,3,NA,NA,NA,3.616,7.068,100,200,HUMID_TEMPERATE,230,SUBTROPICAL,231,OCEANIC_MIXED_CONSTANTLY_HUMID_FORESTS
155,Woodward_EtAl_2005_Broadstone,8.335,6.724,10.376,2.303,0.405,2.079,1.732,4.5,NA,4.796,3.933,4.898,NA,2,NA,NA,NA,3.388,6.571,60,200,HUMID_TEMPERATE,240,MARINE,243,PERMANENTLY_HUMID_WESTERN_OCEANIC_BROADLEAF_FORESTS
158,Anderson_Rosemond_2007_Forested,7.766,5.553,7.868,NA,1.887,1.504,2.015,4.771,2.361,3.977,4.009,5.849,-3.427,NA,2.708,5.235,5.373,3.174,6.372,60,NA,,,,,
159,Anderson_Rosemond_2007_BeaverPond,9.211,6.761,9.572,NA,3.388,1.569,1.96,4.635,6.083,3.977,4.009,5.849,-3.427,NA,2.708,-0.981,-0.981,3.174,6.372,60,NA,,,,,
160,Anderson_Rosemond_2007_Downstream,8.335,6.094,8.534,NA,1.887,1.569,2.028,4.344,2.734,3.977,4.009,5.849,-3.427,NA,2.708,5.275,5.88,3.174,6.372,60,NA,,,,,
167,Colon-Gaud_EtAl_2009_ElCope_Site1,8.038,5.442,NA,4.357,1.194,3.03,2.104,-3.352,3.932,3.699,2.16,6.458,NA,2,NA,4.274,3.842,3.777,8.016,50,400,HUMID_TROPICAL,M420,RAINFOREST_REGIME_MOUNTAINS,M422,FOREST-PARAMO_AND_FOREST-MEADOW_OF_CONSTANTLY_HUMID_OCEANIC_(AND_WINDWARD-SLOPE)_TYPE
