pub_number,pub_name,chemical,chemical_category,organisms,study_type,water_units,water_conc,water_conc_measure_type,water_conc_error_lower_limit,water_conc_upper_limit,water_conc_error_measure,water_conc_sample_size,sediment_units,sediment_conc,sediment_conc_measure_type,sediment_conc_error_lower_limit,sediment_conc_upper_limit,sediment_conc_error_measure,sediment_conc_sample_size,adult_units,adult_conc,adult_conc_measure_type,adult_conc_error_lower_limit,adult_conc_upper_limit,adult_conc_error_measure,adult_conc_sample_size,emergence_mgdm_m2_y,contaminant_flux_mg_m2_y,comments,coordinates,coord,latitude,longitude,comments_from_ralf,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Thricoptera,review,,,,,,,,,,,,,,,mg_g_dm,2.5,,,,,,,,3 Quebec streams (near Ottawa river),45.366,-73.833,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Thricoptera,review,,,,,,,,,,,,,,,mg_g_dm,16.3,,,,,,,,6 streams (Olympic peninsula) WA,47.776971,-123.75,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Ephemeroptera,review,,,,,,,,,,,,,,,mg_g_dm,12.8,,,,,,,,Yanisei River,57.360725,93.25872,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Ephemeroptera,review,,,,,,,,,,,,,,,mg_g_dm,2.1,,,,,,,,3 Quebec streams (near Ottawa river),45.366,-73.833,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Ephemeroptera (Baetidae),review,,,,,,,,,,,,,,,mg_g_dm,14.2,,,,,,,,6 streams (Olympic peninsula) WA,47.776971,-123.75,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Ephemeroptera (Heptag.),review,,,,,,,,,,,,,,,mg_g_dm,9.5,,,,,,,,6 streams (Olympic peninsula) WA,47.776971,-123.75,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Diptera (simul),review,,,,,,,,,,,,,,,mg_g_dm,3.1,,,,,,,,3 Quebec streams (near Ottawa river),45.366,-73.833,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Plecoptera,review,,,,,,,,,,,,,,,mg_g_dm,0.7,,,,,,,,3 Quebec streams (near Ottawa river),45.366,-73.833,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Chironomus,review,,,,,,,,,,,,,,,mg_g_dm,4,,,,,,,,Lake Erken (Sweden),59.85428059,18.52620011,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Procladius,review,,,,,,,,,,,,,,,mg_g_dm,7,,,,,,,,Lake Erken (Sweden),59.85428059,18.52620011,,,,,,,,,,,,,,,,,,,,,
pufa8,Gladyschev et al. Preliminary Estimates of the Export of Omega-3 Highly Unsaturated Fatty Acids (EPA + DHA) from Aquatic to Terrestrial Ecosystems (Chapter 8),EPA + DHA,PUFA,Diamesa,review,,,,,,,,,,,,,,,mg_g_dm,7.7,,,,,,,,Yanisei River,57.360725,93.25872,,,,,,,,,,,,,,,,,,,,,
pufa9,"Maneechan et al. Nutritional Compositions of Aquatic Insects Living in Rice Fields, with a Particular Focus on Odonate Larvae",EPA + DHA,PUFA,Odonata (Pantala),field,,,,,,,,,,,,,,,mg_g_dm,4.6,,,,,,,,Rice field (Thailand)-Kamphaeng Saen District,13.9734,99.968,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Heteroptera/Corixidae,field,,,,,,,,,,,,,,,mg_g_dm,15.7,,,,,,,,>90 Finnish lakes (~centroid of sites),62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Odonata/Anisoptera,field,,,,,,,,,,,,,,,mg_g_dm,7.9,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Odonata/Zygoptera,field,,,,,,,,,,,,,,,mg_g_dm,18.7,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Coleoptera/Dytiscidae,field,,,,,,,,,,,,,,,mg_g_dm,10.6,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Coleoptera (others),field,,,,,,,,,,,,,,,mg_g_dm,11.3,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Ephemeroptera,field,,,,,,,,,,,,,,,mg_g_dm,13.4,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Trichoptera,field,,,,,,,,,,,,,,,mg_g_dm,9.3,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Plecoptera,field,,,,,,,,,,,,,,,mg_g_dm,10.4,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Diptera/Ceratopogonidae,field,,,,,,,,,,,,,,,mg_g_dm,9.3,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Diptera/Chironomidae,field,,,,,,,,,,,,,,,mg_g_dm,9.6,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Diptera/Tabanidae,field,,,,,,,,,,,,,,,mg_g_dm,8.8,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Diptera/Sialidae,field,,,,,,,,,,,,,,,mg_g_dm,8.9,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
pufa10,Strandbeg_et al. Environmental drivers alter PUFA content in littoral macroinvertebrate assemblages via changes in richness and abundance,EPA + DHA + ARA,PUFA,Diptera (others),field,,,,,,,,,,,,,,,mg_g_dm,11.6,,,,,,,,>90 Finnish lakes,62.3,27.8397,,,,,,,,,,,,,,,,,,,,,
