"© 2002, by the American Society of Limnology and Oceanography, Inc.",,,,,,,,,,,,,,,,,,,,,,,,
"McCutchan, Jr., James H., and William M. Lewis, Jr. 2002. Relative importance of carbon sources for",,,,,,,,,,,,,,,,,,,,,,,,
macroinvertebrates in a Rocky Mountain stream. Limnol. Oceanogr. 47: 742-752.,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1.  Macroinvertebrate production (MP; units are mgDM m-2  yr-1) and the proportional,,,,,,,,,,,,,,,,,,,,,,,,
contribution of algal carbon to production (kalgal carbon) for taxa at each site.,,,,,,,,,,,,,,,,,,,,,,,,
Rhyacophila valuma,,148,0.49,78,0.35,,,,,,,,,,,,,,,,,,,
Rhyacophila wallowa,,1296,0.54,388,0.38,,,,,,,,,,,,,,,,,,,
Acarina,,162,0.31,108,0.23,,,,,,,,,,,,,,,,,,,
Oligochaeta,,413,0.33,285,0.47,,,,,,,,,,,,,,,,,,,
Turbellaria,,166,0.39,99,0.38,,,,,,,,,,,,,,,,,,,
Other taxa,,245,,403,,,,,,,,,,,,,,,,,,,,
,Total production,8109,,6338,,,,,,,,,,,,,,,,,,,,
page 2 of 3,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Web Appendix 1 (continued).,,,,,,,,,,,,,,,,,,,,,,,,
,,,1994-95,,1995-96,,,,,,,,,,,,,,,,,,,
Taxonomic group,,MP,kalgal carbon,MP,kalgal carbon,,,,,,ACSP,AISP,EphSP,PleSP,TriSP,ChiSP,otherSP,Units,Notes,Stream width (m),Basin size (km2),figure_table,,
Foothills site,,,,,,,,,,McCutchan_Lewis_2002_Foothills_9495,1210,,2980,592,5297,1358,602,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Coleoptera:  Heterlimnius corpulentus,,334,0.89,526,0.79,,,,,McCutchan_Lewis_2002_Foothills_9596,1010,,3759,1263,1978,817,1187,mg m-2 yr-1 DM,"""Other taxa"" is 1231 mg. Not clear if that is only insects or not. ",,,Appendix Table 1/ Table 2,,
Diptera:  Atherix pachypus,,132,0.85,69,0.82,,,,,,,,,,,,,,,,,,,
Chironomidae,,1358,0.88,817,0.84,,,,,,,,,,,,,,,,,,,
Dicronota sp.,,17,0.86,32,0.88,,,,,,,,,,,,,,,,,,,
Hexatoma sp. 1,,67,0.83,70,0.79,,,,,,,,,,,,,,,,,,,
